"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1045","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 00:04:25","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1046","Dear apple you use the same tech found in an iPhone 7 in you new iPhone 8 you should have just gone with the name of iPhone 7s","2017-09-14 00:03:49","FALSE","0","0","0","Apple Iphone","Los Angeles","USA",FALSE
"1047","RT @TMZ: Apple's iPhone X Could Land Artist Emma Blackery a Record Deal  ","2017-09-14 00:02:39","TRUE","33","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1048","@joshuafry @heathercampbell ""APPLE WILL OWN YOUR FACE""
-iPhone 8 &amp; X: We're coming for your face","2017-09-14 00:02:33","FALSE","0","3","0","Apple Iphone","Los Angeles","USA",FALSE
"1049","RT @Staggfilms: Dear Apple Tech Support,

Today I lost my face in a tragic wild raccoon incident and now my iPhone X hardly recognizes me.","2017-09-14 00:02:20","TRUE","43","0","-3","Apple Iphone","Los Angeles","USA",TRUE
"1050","Apples iPhone X Has Custom Neural Engine Processor Built In  ","2017-09-14 00:02:11","FALSE","0","0","0","Apple Iphone","Los Angeles","USA",FALSE
"1051","RT @TMZ: Apple's iPhone X Could Land Artist Emma Blackery a Record Deal  ","2017-09-14 00:02:03","TRUE","33","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1052","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-14 00:01:51","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1053","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-14 00:01:07","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1054","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-14 00:00:23","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1055","Apple Unveils iPhone X and 8, Adds Music to Apple Watch at Special Event  ","2017-09-14 00:00:03","FALSE","0","1","0","Apple Iphone","Los Angeles","USA",FALSE
"1056","Apple Unveils iPhone X and 8, Adds Music to Apple Watch at Special Event  ","2017-09-14 00:00:01","FALSE","0","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1057","RT @andylassner: No amount of Apple iPhone announcements will make us forget about Ted Cruz liking porn.","2017-09-13 23:59:24","TRUE","703","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1058","I liked a @YouTube video  ","2017-09-13 23:58:20","FALSE","0","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1059","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 23:57:30","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1060","Apple iPhone 6S Plus 64GB AT&amp;T Rose Gold Smartphone $369.99 via eBay  ","2017-09-13 23:57:30","FALSE","0","0","1","Apple Iphone","Los Angeles","USA",FALSE
"1061","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 23:56:22","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1062","What happened with the Apple Face ID fail  ","2017-09-13 23:56:19","FALSE","0","0","-1","Apple Iphone","Los Angeles","USA",TRUE
"1063","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 23:56:16","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1064","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 23:55:58","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1065","RT @TMZ: Apple's iPhone X Could Land Artist Emma Blackery a Record Deal  ","2017-09-13 23:55:28","TRUE","33","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1066","RT @TMZ: Apple's iPhone X Could Land Artist Emma Blackery a Record Deal  ","2017-09-13 23:55:25","TRUE","33","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1067","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 23:55:22","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1068","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 23:54:45","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1069",".@AndrewMayne on Periscope: Lets talk about the iPhone X, creativity and the future! iphonex apple  ","2017-09-13 23:53:48","FALSE","0","0","0","Apple Iphone","Los Angeles","USA",FALSE
"1070","RT @TMZ: Apple's iPhone X Could Land Artist Emma Blackery a Record Deal  ","2017-09-13 23:53:18","TRUE","33","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1071","RT @BBE_Investments: Is Apples new iPhone really more secure and what you need to know after the Equifax breach  ","2017-09-13 23:52:51","TRUE","1","0","0","Apple Iphone","Los Angeles","USA",FALSE
"1072","RT @getampsy: Top Influencers at the iPhoneX launch:

1) @stephenfry
2) @HugoGloss
3) @ijustine
4) @Hipertextual
5) @stevewoz

 ","2017-09-13 23:52:48","TRUE","7","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1073","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 23:52:40","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1074","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 23:52:32","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1075","Apple's iPhone X Could Land Artist Emma Blackery a Record Deal  ","2017-09-13 23:52:28","FALSE","0","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1076","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 23:51:42","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1077","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 23:49:40","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1078","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 23:48:57","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1079","RT @TMZ: Apple's iPhone X Could Land Artist Emma Blackery a Record Deal  ","2017-09-13 23:48:41","TRUE","33","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1080","RT @andylassner: No amount of Apple iPhone announcements will make us forget about Ted Cruz liking porn.","2017-09-13 23:48:38","TRUE","703","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1081","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 23:48:15","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
