"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1892","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:20:58","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1893","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:19:56","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1894","RT @white_label_dev: The $999 iPhone X was an inevitability 
 ","2017-09-14 06:19:53","TRUE","1","0","0","Apple IPhone","London","UK",FALSE
"1895","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:19:42","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1896","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:18:36","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1897","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:18:33","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1898","RT @dezeen: Reader comment: ""When there are so many areas to be pioneered, the planet's best engineers gave us animated turds""  ","2017-09-14 06:18:29","TRUE","25","0","1","Apple IPhone","London","UK",TRUE
"1899","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:18:24","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1900","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:18:11","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1901","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:18:11","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1902","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:18:08","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1903","RT @_CharlesStanley: Apple needs the iPhone X to live up to its hype - by @GarryWhite - now on CS: Live -  ","2017-09-14 06:17:52","TRUE","1","0","-1","Apple IPhone","London","UK",FALSE
"1904","Check out ? Apple deal from O2 - iPhone 6s 32GB Gold Perfect Like New. Almost Perfect phones are nearly n... ","2017-09-14 06:17:17","FALSE","0","0","4","Apple IPhone","London","UK",FALSE
"1905"," ","2017-09-14 06:17:15","FALSE","0","0","0","Apple IPhone","London","UK",TRUE
"1906","Apples 2017 iPhone event: Everything we know  ","2017-09-14 06:17:09","FALSE","0","0","0","Apple IPhone","London","UK",FALSE
"1907","Apple Says Face ID Didn't Fail Onstage During iPhone X Keynote  ","2017-09-14 06:16:49","FALSE","0","0","-1","Apple IPhone","London","UK",FALSE
"1908","RT @ncsysUK: Apple suffers 'major iPhone X leak iphone8 '  ","2017-09-14 06:16:38","TRUE","1","0","-2","Apple IPhone","London","UK",FALSE
"1909","The $999 iPhone X was an inevitability 
 ","2017-09-14 06:16:18","FALSE","1","0","0","Apple IPhone","London","UK",FALSE
"1910","RT @Independent: iPhone X breaks disastrously during Apple keynote  ","2017-09-14 06:16:12","TRUE","16","0","-2","Apple IPhone","London","UK",TRUE
"1911","Apple suffers 'major iPhone X leak iphone8 '  ","2017-09-14 06:16:06","FALSE","1","0","-2","Apple IPhone","London","UK",FALSE
"1912","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:15:54","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1913","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:15:46","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1914","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:15:46","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1915","Apple needs the iPhone X to live up to its hype - by @GarryWhite - now on CS: Live -  ","2017-09-14 06:15:06","FALSE","1","0","-1","Apple IPhone","London","UK",FALSE
"1916","We look at history of phones that paved the way for Apples iPhone X  from the first gadget that weighed 10KG to   ","2017-09-14 06:15:00","FALSE","0","0","0","Apple IPhone","London","UK",FALSE
"1917","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:14:37","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1918","Conan addresses your pressing questions about the iPhone X's facial recognition system  ","2017-09-14 06:14:13","FALSE","0","0","0","Apple IPhone","London","UK",TRUE
"1919","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:14:05","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1920","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:13:24","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1921","RT @iashleyrichards: Hands-on with the new $999 Apple iPhone X  ","2017-09-14 06:12:50","TRUE","131","0","0","Apple IPhone","London","UK",TRUE
"1922","RT @iashleyrichards: Hands-on with the new $999 Apple iPhone X  ","2017-09-14 06:12:44","TRUE","131","0","0","Apple IPhone","London","UK",TRUE
"1923","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:12:18","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1924","RT @jacksmillie: iPhone X USA price: $999
iPhone X UK price: 999
$999 = 752
Why are Apple charging Brits 247 more than the exchange valu","2017-09-14 06:12:00","TRUE","1312","0","0","Apple IPhone","London","UK",TRUE
"1925","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:11:58","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1926","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:11:28","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1927","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:11:01","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
